id;numero;data_deposito;montante;data;anexo;anexo_content_type;numero_processo;meio_liquidacao;banco_caixa_id
1;azure;2020-01-25;36120;2020-01-26T01:03:37;../fake-data/blob/hipster.png;image/png;Monitored invoice;Spain Facilitator infomediaries;1
2;Flat e-tailers;2020-01-25;38223;2020-01-25T17:13:01;../fake-data/blob/hipster.png;image/png;Bedfordshire Granite;non-volatile Saint Pierre and Miquelon;2
3;Handmade Frozen Tuna infrastructures Avon;2020-01-26;29903;2020-01-25T22:06:12;../fake-data/blob/hipster.png;image/png;Gloves deposit Savings Account;National;3
4;Small Frozen Sausages Fresh application;2020-01-26;13975;2020-01-26T05:06:29;../fake-data/blob/hipster.png;image/png;driver;Pizza relationships Guernsey;4
5;back up;2020-01-25;36402;2020-01-26T01:29:52;../fake-data/blob/hipster.png;image/png;red Strategist Global;distributed Handmade Wooden;5
6;Orchestrator Legacy;2020-01-25;28232;2020-01-26T05:36:01;../fake-data/blob/hipster.png;image/png;methodologies;vertical lime frame;6
7;experiences Avon transmit;2020-01-25;64208;2020-01-26T09:32:03;../fake-data/blob/hipster.png;image/png;invoice transmitting;Uzbekistan Sum;7
8;withdrawal;2020-01-25;63539;2020-01-26T04:31:59;../fake-data/blob/hipster.png;image/png;Toys Falkland Islands (Malvinas) Sports;Pants Gorgeous Steel Hat;8
9;backing up;2020-01-25;99952;2020-01-26T04:24:52;../fake-data/blob/hipster.png;image/png;Costa Rican Colon Tasty Frozen Table;withdrawal exploit SAS;9
10;Home Loan Account database;2020-01-26;76727;2020-01-26T07:05:27;../fake-data/blob/hipster.png;image/png;reboot azure;Communications;10
