id;descricao;quantidade;montante;desconto;multa;juro;data;vencimento;quitado;emolumento_id;pagamento_id
1;Personal Loan Account invoice Islands;31373;19562;16501;12689;63497;2020-01-25T18:18:26;2020-01-25;false;1;1
2;Georgia;6498;59257;57314;67124;33921;2020-01-26T13:09:50;2020-01-26;false;2;2
3;Beauty backing up;37424;62060;34615;3794;52637;2020-01-26T09:27:10;2020-01-26;true;3;3
4;challenge;44176;78013;42978;71517;97548;2020-01-26T07:47:02;2020-01-25;false;4;4
5;Vista needs-based;19336;42770;97279;69143;98735;2020-01-26T13:02:29;2020-01-26;true;5;5
6;Fantastic Steel Sausages TCP;690;91224;2071;69765;9388;2020-01-26T14:03:14;2020-01-25;true;6;6
7;Face to face Direct;51687;53698;55144;73971;45422;2020-01-25T22:47:58;2020-01-25;true;7;7
8;open-source experiences Seamless;20465;59086;70177;35602;43853;2020-01-25T15:37:18;2020-01-26;false;8;8
9;virtual Unbranded Rubber Mouse Personal Loan Account;59847;46560;24369;5418;79950;2020-01-25T23:23:05;2020-01-25;false;9;9
10;array Personal Loan Account;66877;51459;22532;80539;92678;2020-01-26T09:25:14;2020-01-26;true;10;10
