id;nome;montante;montante_multa;tempo_multa;quantidade;turno;classe;curso
1;Cambridgeshire;93894;31899;44939;30546;wireless middleware;34002;Frozen
2;Congolese Franc withdrawal solutions;99305;57090;35254;77055;deposit Home;32763;Mozambique
3;Technician Auto Loan Account Buckinghamshire;81347;98817;78347;17232;productize;11811;overriding Checking Account web-readiness
4;Mouse Yemeni Rial;52343;66587;46645;86471;Soft Music CSS;45170;District
5;Quality-focused Corporate;86043;11673;43819;21541;Handcrafted Fresh Shirt Sudanese Pound;27668;synergies
6;Multi-lateral tan Arkansas;66475;49397;70711;13667;Soap Branding;721;payment Forward monetize
7;concept Haven Avon;71211;46587;12188;36695;archive Designer;27302;Cambridgeshire
8;tangible orchestration Inlet;7933;22746;74227;99157;HTTP input invoice;6816;compress facilitate
9;Tools;33961;81125;59949;33095;system calculate deposit;99406;Applications
10;Rustic;66093;43045;55229;47505;Texas;65983;Steel Global
